checking_account,duration,credit_history,purpose,credit_amount,savings_account,employment,installment_rate,personal_status,other_debtors,residence_since,property,age,other_installments,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target
0,49,4,9,7548,3,1,1,0,1,3,3,70,1,1,3,1,1,1,1,1
3,66,3,0,13812,3,4,2,0,2,2,1,20,2,0,3,0,1,0,0,1
2,8,2,4,1880,4,0,2,3,1,1,3,66,0,2,1,2,1,1,0,1
1,26,4,5,16703,4,2,3,3,1,3,2,62,1,1,1,2,1,1,0,1
1,21,0,8,9658,3,4,2,3,1,3,1,63,2,2,1,1,1,1,1,1
3,43,4,1,11175,1,4,1,4,0,1,0,28,2,1,2,3,1,0,1,1
0,40,4,4,3706,2,1,2,2,0,2,2,68,1,2,2,2,1,0,1,1
2,63,2,1,9896,2,3,2,4,2,1,2,52,0,1,1,0,1,1,0,1
0,66,3,8,307,3,0,3,3,0,3,3,41,0,0,2,3,1,0,1,2
0,56,2,6,16495,4,0,2,1,0,3,2,57,1,0,1,0,1,1,0,1
2,17,1,5,13916,1,1,2,4,1,1,0,38,1,1,3,2,1,1,0,1
3,6,3,4,8543,2,4,3,0,2,3,2,34,0,1,3,1,1,0,0,1
2,65,1,1,15504,0,3,2,2,1,2,2,35,0,2,3,2,1,0,1,1
3,68,1,10,15061,3,2,3,4,1,2,1,50,1,1,1,3,1,0,1,2
2,21,2,7,2423,2,1,3,3,1,1,1,52,2,2,3,2,1,0,1,1
3,7,4,3,1232,2,0,3,4,0,3,3,32,0,0,2,2,1,0,1,2
2,50,1,4,4877,2,1,3,0,0,2,2,32,1,1,3,3,1,1,0,2
0,44,2,7,273,1,0,2,2,0,3,2,71,0,2,3,2,1,1,1,1
3,64,0,7,10709,2,0,1,3,2,1,1,47,0,0,2,3,1,0,0,1
1,43,0,5,9891,3,3,2,3,2,2,1,67,1,0,1,1,1,1,1,1
2,55,0,3,10068,1,0,1,4,0,1,2,37,0,2,3,0,1,0,0,2
1,57,0,7,1593,0,0,2,2,0,3,3,35,0,1,2,0,1,0,1,1
0,4,4,7,17007,1,2,3,3,0,2,2,34,2,2,3,2,1,1,1,1
3,14,4,6,18071,0,1,2,2,2,3,2,48,0,1,3,2,1,1,1,1
3,57,4,0,11027,1,2,1,4,1,1,0,62,0,2,1,0,1,0,1,1
2,16,0,5,350,3,0,1,0,2,3,3,47,2,2,3,0,1,0,0,1
1,18,0,6,7476,0,1,3,1,1,1,0,35,1,2,1,3,1,1,0,1
3,55,1,10,13356,3,2,3,0,2,2,3,72,0,0,1,2,1,0,1,1
2,17,2,5,13914,1,3,2,3,1,1,1,51,1,1,1,3,1,0,1,2
1,14,1,3,4691,4,2,3,1,0,1,3,41,1,0,3,0,1,0,0,1
1,4,2,6,15264,3,2,3,1,2,2,3,19,0,0,1,0,1,0,1,1
0,35,0,1,17907,1,2,2,4,2,1,3,50,1,0,3,1,1,1,0,1
0,47,3,0,9533,2,1,1,1,2,2,3,53,1,1,1,3,1,1,1,2
2,53,1,7,7213,0,1,3,0,2,3,2,71,0,1,2,2,1,0,0,1
3,65,0,10,9851,0,2,2,0,0,1,3,31,2,2,1,3,1,0,0,2
0,48,3,9,747,4,0,3,1,0,3,0,28,1,0,2,1,1,0,1,1
3,55,4,6,9802,4,3,3,4,1,1,0,74,2,1,2,1,1,0,1,2
3,18,0,0,741,0,3,2,2,0,1,2,49,0,2,3,2,1,0,1,1
1,27,2,10,884,1,1,2,4,1,2,3,20,0,2,3,3,1,1,1,2
2,24,4,4,10349,0,1,1,1,0,2,3,24,2,0,3,1,1,1,1,1
0,8,3,3,9571,1,1,3,1,1,2,2,45,2,2,2,2,1,1,0,2
3,69,4,9,18257,1,3,1,0,1,1,2,53,0,0,1,3,1,0,1,2
2,20,2,8,9515,1,3,2,1,1,2,2,32,2,1,1,1,1,0,1,1
1,34,1,8,18130,2,0,2,2,2,1,3,39,0,1,3,3,1,0,1,1
0,28,3,3,14979,0,2,1,4,1,1,3,60,1,2,2,2,1,0,1,1
3,7,0,10,6405,4,0,2,1,1,3,0,73,0,2,3,3,1,0,0,1
1,65,1,4,17152,3,2,3,3,0,1,2,46,1,2,2,1,1,0,1,1
3,18,3,5,9059,3,1,1,3,1,2,1,42,2,2,2,2,1,1,1,1
2,10,3,8,11107,0,1,1,1,0,2,3,39,2,1,3,1,1,0,0,1
3,27,0,7,2083,3,2,1,4,0,1,2,26,2,2,3,2,1,0,1,1
3,13,2,1,4129,4,1,1,2,1,3,3,21,0,0,1,1,1,1,0,2
0,71,1,3,9779,0,1,1,0,0,2,1,65,2,1,2,2,1,1,1,1
1,16,2,3,5200,3,3,2,4,1,3,2,21,1,0,1,3,1,1,1,1
1,24,4,10,11194,1,4,3,4,0,2,0,64,1,2,3,1,1,0,0,1
1,22,0,7,1708,3,0,3,0,2,3,3,32,2,2,1,1,1,0,1,1
0,5,4,4,4831,2,1,3,4,2,3,0,57,1,2,3,1,1,0,0,1
2,4,2,8,12389,4,4,3,4,0,1,1,72,1,2,3,2,1,0,1,1
0,38,3,8,11421,0,2,2,4,1,3,3,60,1,0,1,2,1,1,1,1
2,19,2,4,18201,1,1,3,1,1,3,3,59,1,2,2,2,1,1,0,1
2,9,1,4,16669,1,2,1,3,1,2,1,33,2,1,1,0,1,1,0,1
3,23,3,9,15043,1,0,3,2,1,1,1,52,1,2,2,0,1,1,0,1
2,22,3,6,267,1,0,1,3,2,2,0,54,1,2,2,0,1,0,0,1
1,32,0,1,11245,1,3,3,3,1,3,3,42,0,1,2,3,1,0,0,1
3,71,3,7,4428,0,2,1,3,0,2,0,21,1,0,3,3,1,1,0,1
1,24,3,6,5121,3,3,1,2,1,1,0,70,2,1,2,0,1,1,0,1
1,51,1,5,4081,2,1,2,3,0,2,1,30,1,1,2,0,1,1,0,1
3,56,4,7,8570,4,4,3,2,1,3,0,73,0,2,1,3,1,1,0,1
